Brand,Variety,Style,Country,Stars
Tasty Bite,1 Step-1 Minute Asian Noodles Kung Pao,Pack,USA,4.25
Unif,100 Artificial Shallot Chicken,Pack,Taiwan,3.25
Uni-President,100 Beef With Sauerkraut,Pack,Taiwan,4.75
Unif,100 Furong Shrimp,None,Taiwan,3
GaGa,100 Green Chilli Soto Flavour,Pack,Indonesia,3.75
Sakurai Foods,100% Vegetarian Soy Sauce Flavor,Pack,Japan,4.25
Trident,2 Minute Laksa Flavour Noodles,Pack,Australia,2
Maggi,2 Minute Noodles Assam Laksa Flavour,Pack,Singapore,4
Asian Thai Foods,2pm Precooked Noodles Chicken Curry Delight,Pack,Nepal,3.5
Samyang Foods,2x Spicy Haek Buldak Bokkeummyun,Pack,South Korea,4
United,3 Con Tom Instant Noodles Thailand Sour Shrimp Flavor,Pack,Vietnam,2.75
Gomex,3 Mien Mi Tom Chua Cay Hot sour Shrimp,Pack,Vietnam,2.25
Maruchan,35% Less Sodium Beef,Cup,USA,3.5
Samyang,60 Ingredients,Cup,South Korea,2.75
Samyang Foods,60 Ingredients Assorted Vegetable SK Version,Pack,South Korea,3.75
Sichuan Guangyou,9999 Chongqing Artificial Beef Flavor Instant Noodle,Pack,China,4.25
Uni-President,A Q Bucket Noodle Korean Kimchi Flavor,Bowl,Taiwan,4
Samyang Foods,Samyang Ramyun South Korean Version,Bowl,South Korea,3.75
Little Cook,Abalone Chicken,Cup,Thailand,1.75
Maruchan,Akai Kitsune Udon,Bowl,Japan,4
Souper,Alimentary Paste Chow Mein,Pack,Taiwan,4.25
Deshome,Aloe Noodle Red Onion & Sesame Sauce,Pack,Taiwan,5
Jingqi,Aloe Vera Guan Mian Cyanobacteria Noodle With Ginger Oil Sauce,Pack,Taiwan,5
Ibumie,Always Mi Goreng Perisa Asli,Pack,Malaysia,3.75
Guava Story,Anchovy Flavor Guava Rice Noodles,Tray,South Korea,1
Nongshim,Ansungtangmyun (US Version),Pack,USA,3.75
Ve Wong,A-One Bun Tom Shrimp,Pack,Taiwan,3
Sakurai Foods,ARCHE Naturküche Japanische Nudelsuppe,Pack,Japan,3.25
Nongshim,Arrabiata Rice Bucatini,Pack,USA,5
Master Kong,Artificial Abalone Crab Flavor Instant Noodle,Pack,China,0
Dragonfly,Artificial Beef,Bowl,China,4.75
Doll,Artificial Beef Flavor,Pack,Hong Kong,2.5
Baixiang Noodles,Artificial Beef Instant Noodles With Soup Base,Pack,China,3.75
Unif,Artificial Beef With Sauerkraut,Bowl,Taiwan,3.75
Kang Shi Fu,Artificial Beef With Sauerkraut Flavour,Pack,Hong Kong,4
Master Kong,Artificial Braised Beef,Pack,China,4.25
Doll,Artificial Chicken,Pack,Hong Kong,4.5
Sunlee,Artificial Chicken Rice Vermicelli,Bowl,Thailand,2.5
Unif / Tung-I,Artificial Chinese Beef,Pack,Taiwan,2.85
Ve Wong,Artificial Classic Beef,Bowl,Taiwan,3.75
Kang Shi Fu,Artificial Dongpo's Braised Pork Flavour,Pack,Hong Kong,4.75
Dragonfly,Artificial Hot & Sour Shrimp,Pack,China,4
JML,Artificial Mushroom Chicken,Bowl,China,1.25
Master Kong,Artificial Mushroom Chicken Flavor Instant Noodle,Pack,China,4
Dragonfly,Artificial Onion,Bowl,China,4
